Region,Banana,Mango,Apple,Guava,orange
Vermont,69,19,100,2,23
Maine,66,17,93,2,24
New Hampshire,65,17,84,2,22
Delaware,84,20,56,3,20
Hawaii,81,43,44,15,21
Wisconsin,65,16,79,2,22
Minnesota,61,17,75,3,20
Alaska,73,20,63,3,25
South Dakota,73,15,72,3,23
Iowa,62,14,73,2,21
Michigan,61,16,70,2,20
North Dakota,66,17,69,3,23
Montana,68,16,68,2,24
Wyoming,68,17,62,3,23
Idaho,66,16,64,3,24
Washington,63,19,66,4,22
Rhode Island,63,19,65,4,20
West Virginia,56,13,65,2,21
Utah,64,18,54,3,23
Pennsylvania,64,18,61,3,21
Massachusetts,61,19,64,3,19
New Jersey,64,21,54,4,19
Kansas,63,14,49,2,17
Indiana,62,14,63,2,20
Nebraska,62,16,63,3,21
Connecticut,61,20,63,3,20
Oklahoma,62,17,49,3,21
Illinois,58,18,62,3,19
Ohio,59,15,62,2,20
New Mexico,61,15,52,3,21
Oregon,61,16,47,3,16
California,60,22,47,5,22
Louisiana,60,15,43,3,19
New York,60,20,58,4,18
Missouri,60,15,57,2,19
Arizona,59,19,48,3,24
Florida,59,28,43,6,24
Maryland,58,20,54,3,20
Texas,58,17,42,3,18
South Carolina,58,15,53,2,19
Colorado,57,19,53,3,19
Nevada,57,19,45,4,20
Virginia,56,19,51,3,18
North Carolina,54,16,56,3,19
Arkansas,56,14,49,3,19
Tennessee,56,14,53,2,20
Kentucky,54,14,55,2,21
District of Columbia,53,21,54,3,19
Alabama,53,13,47,3,19
Georgia,52,17,48,3,18
Mississippi,51,12,44,2,18
